number,section,title,basis,result,nonconformity,note
1,Общие вопросы экологического (инспекционного) контроля,Соблюдаются требования порядка определения платежной базы для исчисления платы за негативное воздействие на окружающую среду.,"пункт 1 статьи 16.1, пункты 2,3, 4 статьи 16.2 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
2,Общие вопросы экологического (инспекционного) контроля,Плата за негативное воздействие на окружающую среду внесена.,"пункты 1, 2 статьи 16.4 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
3,Общие вопросы экологического (инспекционного) контроля,"Плата за негативное воздействие на окружающую среду внесена не позднее 1-го марта года, следующего за отчетным периодом (календарным годом).","пункт 3 статьи 16.4 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
4,Общие вопросы экологического (инспекционного) контроля,"Квартальные авансовые платежи за негативное воздействие на окружающую среду внесены в установленный срок и в полном объеме: - в размере одной четвертой части суммы платы, уплаченной за предыдущий год; - в размере одной четвертой части суммы платы исходя из установленных нормативов; - на основании данных производственного экологического контроля.","пункт 4 статьи 16.4 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
5,Общие вопросы экологического (инспекционного) контроля,Декларация о плате за негативное воздействие на окружающую среду представлена в Росприроднадзор.,"пункт 8 статьи 16.4 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
6,Общие вопросы экологического (инспекционного) контроля,Декларация о плате за негативное воздействие на окружающую среду соответствует установленным требованиям к ее содержанию.,Приказ МПР от 10.12.2020 №1043 Об утверждении Порядка представления декларации о плате за негативное воздействие на окружающую среду,1,,
7,Общие вопросы экологического (инспекционного) контроля,"Декларация о плате за негативное воздействие на окружающую среду представлена не позднее 10-го марта года, следующего за отчетным периодом (календарным годом).","пункт 8 статьи 16.4 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
8,Общие вопросы экологического (инспекционного) контроля,Деклараця о воздействии на окружающую среду соответствует установленным требованиям.,"приложение 1, приложение 2 Приказа Минприроды России от 11.10.2018 № 509 ""Об утверждении формы декларации о воздействии на окружающую среду и порядка ее заполнения, в том числе в форме электронного документа, подписанного усиленной квалифицированной электронной подписью""",1,,
9,Общие вопросы экологического (инспекционного) контроля,"Объекты, оказывающие негативное воздействие на окружающую среду, I, II, III и IV категорий поставлены на государственный учет в полном объеме.","пункт 1 статьи 4.2, пункт 1 статьи 69.2 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""; Постановление Правительства Российской Федерации от 07 мая 2022 г. № 830 ""Об утверждении Правил создания и ведения государственного реестра объектов, оказывающих негативное воздействие на окружающую среду""",1,,
10,Общие вопросы экологического (инспекционного) контроля,"Заявка о постановке на государственный учет объектов, оказывающих негативное воздействие на окружающую среду, подана не позднее чем в течение шести месяцев со дня начала эксплуатации указанных объектов.","пункт 2 статьи 69.2 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
11,Общие вопросы экологического (инспекционного) контроля,"Имеется подготовка в области охраны окружающей среды и экологической безопасности: - руководителя организации; - специалистов, ответственных за принятие решений при осуществлении хозяйственной и иной деятельности, которая оказывает или может оказать негативное воздействие на окружающую среду.","пункт 1 статьи 73 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
12,Общие вопросы экологического (инспекционного) контроля,"Вред окружающей среде, причиненный в результате ее загрязнения, истощения, порчи, уничтожения, нерационального использования природных ресурсов, деградации и разрушения естественных экологических систем, природных комплексов и природных ландшафтов и иного нарушения законодательства в области охраны окружающей среды возмещение в полном объеме.","пункт 1 статьи 77 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
13,Общие вопросы экологического (инспекционного) контроля,"Наличие утвержденной программы производственного экологического контроля (далее - программа) лицом, осуществляющим хозяйственную и (или) иную деятельность на объектах I, II и III категорий.","пункт 2 статьи 67 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
14,Общие вопросы экологического (инспекционного) контроля,"Имеется утвержденная программа по каждому объекту I, II и III категорий с учетом: - его категории; - применяемых технологий; - особенностей производственного процесса; - оказываемого негативного воздействия на окружающую среду.","пункт 1 требований к содержанию программы производственного экологического контроля, утвержденных приказом Министерства природных ресурсов и экологии Российской Федерации от 18.02.2022 № 109",1,,
15,Общие вопросы экологического (инспекционного) контроля,"Утвержденная программа производственного экологического контроля соответствует установленным требованиям к ее содержанию, достоверности и полноте сведений.","пункт 3 статьи 67 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""; пункты 2 - 9 требований к содержанию программы производственного экологического контроля, утвержденных приказом Министерства природных ресурсов и экологии Российской Федерации от 18.02.2022 №109",1,,
16,Общие вопросы экологического (инспекционного) контроля,Производственный экологический контроль осуществляется в соответствии с программой производственного экологического контроля.,"пункт 2 статьи 67 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
17,Общие вопросы экологического (инспекционного) контроля,"Отчет об организации и о результатах осуществления производственного экологического контроля достоверен и представлен не позднее 25-го марта года, следующего за отчетным периодом (календарным годом).",пункт 1 Приложения 2 требований к порядку и срокам предоставления отчета об организации и о результатах осуществления производственного экологического контроля к приказу Министерства природных ресурсов и экологии Российской Федерации от 18.02.2022 № 109,1,,
18,Общие вопросы экологического (инспекционного) контроля,"Осуществляется документирование и хранение достоверных данных, полученных по результатам осуществления производственного экологического контроля.","пункты 2, 6 статьи 67 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""; Приказ МПР от 14.06.2018№ 261 ""Об утверждении формы отчета об организации и о результатах осуществления производственного экологического контроля"";",1,,
19,Общие вопросы экологического (инспекционного) контроля,"При осуществлении производственного экологического контроля проводятся измерения выбросов, сбросов загрязняющих веществ в отношении загрязняющих веществ, характеризующих применяемые технологии и особенности производственного процесса на объекте, оказывающем негативное воздействие на окружающую среду (маркерных веществ).","пункт 5 статьи 67 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
20,Общие вопросы экологического (инспекционного) контроля,Сведения о текущих затратах на охрану окружающей среды (форма № 4-ОС) предоставлены,Приказ Росстата от 26.08.2021 №516,1,,
21,Общие вопросы экологического (инспекционного) контроля,План природоохранных мероприятий разработан и утвержден в установленные сроки,пункт 6.2.2 СТО Газпром трансгаз Чайковский 16-001-2023,1,,
22,Общие вопросы экологического (инспекционного) контроля,Отчет о выполнении плана природоохранных мероприятий формируется ежеквартально в установленные сроки,пункт 6.2.2 СТО Газпром трансгаз Чайковский 16-001-2023,1,,
23,Общие вопросы экологического (инспекционного) контроля,Инспекционный контроль в области охраны окружающей среды организован,пункт 1.2 СТО Газпром трансгаз Чайковский 16-005-2023,1,,
24,Общие вопросы экологического (инспекционного) контроля,Утвержден план-график Инспекционного контроля в области охраны окружающей среды,пункт 7.2.6 СТО Газпром трансгаз Чайковский 16-005-2023,1,,
25,Общие вопросы экологического (инспекционного) контроля,Разработан (актуализирован) и утвержден чек-лист по проведению инспекционного контроля в области охраны окружающей среды уровня филиала Общества (с учетом специфики объекта),пункт 7.2.3 СТО Газпром трансгаз Чайковский 16-005-2023,1,,
26,Общие вопросы экологического (инспекционного) контроля,Оформляются акты-предписания по результатам Инспекционного контроля в области охраны окружающей среды,пункт 7.2.9 СТО Газпром трансгаз Чайковский 16-005-2023,1,,
27,Общие вопросы экологического (инспекционного) контроля,"В отношении выявленных несоответствий устанавливаются причины, планируются коррекция и корректирующие действия","Методические рекомендации по управлению несоответствиями в системе экологического менеджмента ПАО ""Газпром"" от 28.12.2022",1,,
28,Общие вопросы экологического (инспекционного) контроля,Отчеты о выполнении Плана корректирующих действий оформляются в установленном порядке,"Методические рекомендации по управлению несоответствиями в системе экологического менеджмента ПАО ""Газпром"" от 28.12.2023",1,,
29,Общие вопросы экологического (инспекционного) контроля,Организовано проведение технической уебы рабочих и специалистов по вопросам охраны окружающей среды,"Положение о Системе непрерывного фирменного профессионального образования персонала ООО ""Газпром трансгаз Чайковский"", утв. приказом от 30.12.2016 № 1655",1,,
30,Общие вопросы экологического (инспекционного) контроля,В структурных подразделениях разработаны и утверждены Производственные инструкиции по ООС,"Приказ ООО ""Газпром трансгаз Чайковский"" от 27.08.2018 №1067, от 27.12.2018 №1685",1,,
31,Общие вопросы экологического (инспекционного) контроля,Осуществляется анализ несоответствии с целью исключения выявления повторяющихся несоответствий,Рассылка по средствам внутренних писем за подписью Руководства Общества,1,,
32,Земельный контроль,Имеются правоустанавливающие документы на право пользования земельным участком,"статьи 26, 39 Земельного кодекса Российской Федерации от 25.10.2001 № 136-ФЗ",2,"На территории, прилегающей к ГКС-4, осуществляется отстой техники Горнозаводского ЛПУМГ (трубоукладчики, бульдозер) в условиях отсутствия правоустанавливающих документов на право пользования земельным участком.",
33,Земельный контроль,"Имеются проекты восстановления загрязненных земель в зонах временного и (или) постоянного использования земель при строительстве и эксплуатации объектов нефтегазодобывающих производств, объектов переработки, транспортировки, хранения и реализации нефти, газа и продуктов их переработки (В рамках согласованных ПЛАРН)","пункт 3 статьи 46 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
34,Земельный контроль,В целях охраны земель проводятся мероприятия по защите земель от: - водной и ветровой эрозии; - селей; - подтопления; - заболачивания; - вторичного засоления; - иссушения; - уплотнения; - загрязнения химическими веществами; - загрязнения отходами производства и потребления; - другого негативного воздействия.,подпункт 2 пункта 2 статьи 13 Земельного кодекса Российской Федерации от 25.10.2001 № 136-ФЗ,1,,
35,Земельный контроль,"В случаях осуществления деятельности, приведшей к ухудшению качества земель проводится рекультивация земель.",пункт 5 статьи 13 Земельного кодекса Российской Федерации от 25.10.2001 № 136-ФЗ,1,,
36,Земельный контроль,"Разработка проекта рекультивации земель и рекультивация земель, разработка проекта консервации земель и консервация земель обеспечиваются лицами, деятельность которых привела к деградации земель.","пункт 3 Постановление Правительства РФ от 10.07.2018 N 800 ""О проведении рекультивации и консервации земель""",1,,
